artist,nationality,gender,year_born,,undergraduate,graduate
Kerim Ragimov,Russian,male,1970,Russia,St. Petersburg Art College,None
Zhang Xintong,Chinese,,1990,,Sun Yat-sen University,Royal College of Art
Yukiyo Matsushita,Japanese,male,1970,US,SUNY ,School of Visual Arts
Larry Cook,American,,1986,,SUNY,George Washington University
Kosuke Araki,Japanese,,1988,,Tama Art University,Royal College of Art
Stephanie Forsythe,Canadian,male,1970,Canada,Technical University of Nova Scotia,Dalhouse University
Walter Price,American,,1989,,The Art Institute of Washington,Middle Georgia College
Katya Sander,Danish,male,1970,Denmark,The Royal Academy for Fine Arts,"The Royal Academy for Fine Arts, Copenhagen"
B. Ingrid Olson,American,,1987,,The School of the Art Institute of Chicago,None
Liu Liyuan,Chinese,,1997,,Tsinghua Academy,None
Zhang Ke,Chinese,male,1970,,Tsinghua University,Harvard
Benjamin Edwards,American,male,1970,US,UCLA,Rhode Island School of Design
Oliver Croy,Austrian,male,1970,Austria,University of Applied Arts,None
Loredana Sperini,Swiss,male,1970,Switzerland,"University of Arts and Design, Zurich","University of Arts and Design, Zurich"
Gareth James,British,male,1970,US,University of Auckland,Stanford University 
Tom Wiscombe,American,male,1970,,"University of California, Berkeley",UCLA
Sze Tsung Leong,British,male,1970,US,"University of California, Berkeley",Harvard
Ashley Hunt,American,male,1970,,"University of California, Irvine",School of the Art Institute of Chicago
Adam Broomberg,South African,male,1970,,University of Cape Town,Goldsmiths University
Jens Martin Skibsted,Danish,male,1970,Denmark,University of Copenhagen,"University of California, Berkeley"
Phil Collins,British,male,1970,,University of Manchester,University of Ulster
Calvin Marcus,American,,1988,,University of Oregon,UCLA
Artie Vierkant,American,,1986,,University of Pennsylvania,"University of California, San Diego"
Davey Wreden,American,,1988,,University of Southern California,None
Jason Salavon,American,male,1970,,University of Texas at Austin,School of the Art Institute of Chicago
Marco Cianfanelli,South African,male,1970,N/A,University of the Witwatersrand,None
Anna Jermolaewa,Russian,male,1970,Austria,University of Vienna,Academy of Fine Arts in Vienna
Sebastiaan Bremer,Dutch,male,1970,US,Vrije Academie,Skowhegan School of Painting and Sculpture 
Cameron Rowland,American,,1988,,Wesleyan University,
Farah Al Qasimi,Emirati,,1991,,Yale,Yale
